id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,num_of_artists,year,artist_followers,genres,artist_popularity,genre
1mtUqbOtIjHdaZyyeBmx5R,"All Blues - Live at the Newport Jazz Festival, Newport, RI - July 1966",13,627107,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.38,0.491,2,-11.738,0,0.0695,0.205,3.67e-06,0.08,0.371,142.126,3,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,vocal jazz
28anyQ5NZxVBNHWw9zo0ju,"Gingerbread Boy - Live at the Newport Jazz Festival, Newport, RI - July 1966",11,509613,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.38,0.642,5,-10.779,0,0.0597,0.151,1.46e-05,0.937,0.505,124.366,4,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,soul
7tS65NflLm1jmiLDSwPvEm,"Stella by Starlight - Live at the Newport Jazz Festival, Newport, RI - July 1966",12,478427,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.359,0.462,5,-11.696,1,0.0566,0.23,0.00117,0.259,0.385,156.127,4,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,jazz fusion
2ILQXkqwzY7lBEEnOZGtwi,"R.J. - Live at the Newport Jazz Festival, Newport, RI - July 1966",10,380893,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.342,0.449,2,-12.463,0,0.0453,0.258,3.96e-06,0.151,0.505,148.476,4,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,hard bop
4OYMMhhvDG1iGRrCu9HYjE,"Seven Steps to Heaven - Live at the Newport Jazz Festival, Newport, RI - July 1966",10,285880,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.351,0.627,5,-10.793,1,0.083,0.117,3.92e-05,0.134,0.455,85.005,4,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,jazz trumpet
6aQrGQgMYhUP7Rtzz5Gois,"The Theme / Closing Announcement by Leonard Feather - Live at the Newport Jazz Festival, Newport, RI - July 1966",9,137080,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],2015-07-17,0.405,0.592,3,-11.947,0,0.193,0.0956,9.93e-06,0.287,0.542,119.363,4,1,2015,2400898,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']",62,jazz trumpet
36qiD6Ry73Z6R7w9xXqZjY,Interview With Steve Marriott - BBC Saturday Club Session / March 1966,1,58961,0,['Small Faces'],['1YqGsKpdixxSVgpfaL2AEQ'],2015-05-01,0.761,0.181,1,-23.291,1,0.904,0.817,0.0,0.165,0.808,86.822,4,1,2015,306484,"['british blues', 'british invasion', 'protopunk']",46,british invasion
5XA7pXQGKd2Lv9oxvmJlpi,Interview With Steve Marriott - BBC Saturday Club Session / August 1966,1,62102,0,['Small Faces'],['1YqGsKpdixxSVgpfaL2AEQ'],2015-05-01,0.684,0.281,8,-20.386,1,0.916,0.8,0.0,0.0848,0.772,98.828,4,1,2015,306484,"['british blues', 'british invasion', 'protopunk']",46,british invasion
71LENrqj6MMZVdeJdRCfMr,Interview With Steve Marriott - BBC Saturday Club Session / May 1966,1,84852,0,['Small Faces'],['1YqGsKpdixxSVgpfaL2AEQ'],2015-05-01,0.711,0.102,2,-22.798,1,0.898,0.818,0.0,0.137,0.494,94.033,4,1,2015,306484,"['british blues', 'british invasion', 'protopunk']",46,protopunk
7wC7sgcb85BS0OQZMjlJkx,Year 3000,4,156963,0,['Black Tie Event'],['0m9P1DsUOjDOw8dm54ZTTP'],2016-07-23,0.665,0.751,11,-4.35,1,0.0483,0.03,0.0,0.117,0.844,112.01,4,1,2016,1588,[],6,
